"","shift","variable","rho"
"75",-4,"death",-0.225913776770107
"76",-3,"positivity",0.573621020125852
"77",-3,"cases",-0.174142368035672
"78",-3,"death",-0.195578790721259
"79",-2,"positivity",0.594071548531891
"80",-2,"cases",-0.145876430912636
"81",-2,"death",-0.159093682137786
"82",-1,"positivity",0.610309262246417
"83",-1,"cases",-0.120011010751029
"84",-1,"death",-0.1161501558539
"85",0,"positivity",0.623936836718093
"86",0,"cases",-0.0949986904739178
"87",0,"death",-0.0682435665787542
"88",1,"positivity",0.638458488032888
"89",1,"cases",-0.0724258322113458
"90",1,"death",-0.0166043576960239
"91",2,"positivity",0.654284370462703
"92",2,"cases",-0.0498136007075555
"93",2,"death",0.0441449382037526
"94",3,"positivity",0.658454202567125
"95",3,"cases",-0.0312991857750625
"96",3,"death",0.10704758653611
"97",4,"positivity",0.660687499894992
"98",4,"cases",-0.0161335278062997
"99",4,"death",0.170824440736884
"100",5,"positivity",0.663763711463563
"101",5,"cases",-0.00536569633087931
"102",5,"death",0.234004065754897
"103",6,"positivity",0.664948389828198
"104",6,"cases",0.00203777151674911
"105",6,"death",0.295503973060028
"106",7,"positivity",0.666541187922616
"107",7,"cases",0.00651983044551565
"108",7,"death",0.35678219178092
"109",8,"positivity",0.662970468987013
"110",8,"cases",0.00737227172449181
"111",8,"death",0.418001770215134
"112",9,"positivity",0.657395203003775
"113",9,"cases",0.00657835624930268
"114",9,"death",0.468210788859347
"115",10,"positivity",0.658095416981722
"116",10,"cases",0.00302018015595616
"117",10,"death",0.517042425978545
"118",11,"positivity",0.659305366136663
"119",11,"cases",-0.00542186039709624
"120",11,"death",0.556609258305727
"121",12,"positivity",0.656246324756458
"122",12,"cases",-0.0183653293394642
"123",12,"death",0.594317008592108
"124",13,"positivity",0.648900206823103
"125",13,"cases",-0.0269548059344856
"126",13,"death",0.623770762272825
"127",14,"positivity",0.638730174643931
"128",14,"cases",-0.0389542662968317
"129",14,"death",0.645458444538775
"130",15,"positivity",0.635330400890297
"131",15,"cases",-0.0513325191112483
"132",15,"death",0.659852559231813
"133",16,"positivity",0.633249503577727
"134",16,"cases",-0.0669487252974353
"135",16,"death",0.670637094364667
"136",17,"positivity",0.625736740630374
"137",17,"cases",-0.0827617999879057
"138",17,"death",0.67159969900443
"139",18,"positivity",0.615697403432162
"140",18,"cases",-0.102590651495644
"141",18,"death",0.673824725501428
"142",19,"positivity",0.605185807212576
"143",19,"cases",-0.118345335499651
"144",19,"death",0.673049873892568
"145",20,"positivity",0.596695817582052
"146",20,"cases",-0.136129513827793
"147",20,"death",0.666004976860039
"148",21,"positivity",0.582500144753228
"149",21,"cases",-0.149319973716176
"150",21,"death",0.655127325731012
"151",22,"positivity",0.559875544842933
"152",22,"cases",-0.164038951118487
"153",22,"death",0.641517561050384
"154",23,"positivity",0.532054982946877
"155",23,"cases",-0.175602131384528
"156",23,"death",0.628206906268198
"157",24,"positivity",0.515119369995512
"158",24,"cases",-0.186842393451329
"159",24,"death",0.619317041094434
"160",25,"positivity",0.500699472829301
"161",25,"cases",-0.196058314914976
"162",25,"death",0.613752799352339
"163",26,"positivity",0.485420375518131
"164",26,"cases",-0.206544799263491
"165",26,"death",0.608847030883412
"166",27,"positivity",0.464139957286582
"167",27,"cases",-0.216463837244175
"168",27,"death",0.604089111959617
"169",28,"positivity",0.446148698172842
"170",28,"cases",-0.229208957616083
"171",28,"death",0.604129609747449
